player_name,season,expected_goals,actual_goals,expected_assists,actual_assists
Jamie Vardy,2014-2015,7.851606417447329,5,5.1826484482735395,8
Shane Long,2014-2015,4.035826779901981,5,2.735771756619215,5
John Terry,2014-2015,5.21680910885334,5,0.3966271262615919,0
Steven Fletcher,2014-2015,6.642455920577049,5,2.0515788961201906,2
Stevan Jovetic,2014-2015,3.329761994071305,5,1.8126026093959808,3
George Boyd,2014-2015,3.4792170291766524,5,3.5598809821531177,2
David Nugent,2014-2015,6.229932998307049,5,1.8909174874424937,2
Ashley Barnes,2014-2015,5.690879393368959,5,1.823077050037682,2
Esteban Cambiasso,2014-2015,2.480083841830492,5,1.938136932440102,1
Daniel Sturridge,2014-2015,4.518866069614887,4,1.51829581707716,1
Mesut Özil,2014-2015,3.860026102513075,4,6.6569958999753,5
Danny Welbeck,2014-2015,7.272419456392527,4,2.887719687074423,3
Yannick Bolasie,2014-2015,4.837671763263643,4,5.125396749004722,6
Wilfried Zaha,2014-2015,4.761631336063147,4,2.1885991133749485,2
Cheikhou Kouyaté,2014-2015,3.0627187211066484,4,1.1875265780836344,2
Enner Valencia,2014-2015,6.480698645114899,4,2.5936690075322986,3
Morgan Schneiderlin,2014-2015,2.391752079129219,4,1.5581415556371212,1
Phil Jagielka,2014-2015,2.3946315087378025,4,0.07067899405956268,0
Chris Smalling,2014-2015,1.8635459579527376,4,0.39187030494213104,0
Fraizer Campbell,2014-2015,4.2211359813809395,4,0.46638403460383415,0
Branislav Ivanovic,2014-2015,4.370111751370132,4,5.31574872136116,5
Falcao,2014-2015,7.156319906935096,4,1.8940745368599892,4
Jermain Defoe,2014-2015,4.020909581333399,4,1.260544329881668,0
Riyad Mahrez,2014-2015,4.923194452188909,4,6.056509282439947,3
Jack Colback,2014-2015,2.8249619929119945,4,2.3404143704101443,6
Moussa Sissoko,2014-2015,3.9524447536095977,4,4.653360825031996,2
Dusan Tadic,2014-2015,5.62757814489305,4,9.00442223995924,7
Bojan,2014-2015,2.5972426552325487,4,1.701795605942607,1
